id_retalt;nom_ouv;volume_m3;confinement;annee_construction;classement;departement;surface_m2;surface_sig_m2;altitude_sig_m;type_ouvrage;ce500;ce2000;pe500;pe2000
81;Col du Corbier;18000;aucun;2000;NA;74;2000;2959;1206.6;barrage_cours_eau;87.1286192418957;9424.60539991403;0;0
82;Memises 2;19000;aucun;1998;NA;74;NA;3492;1620.6;retenue_altitude;0;6479.63477728281;0;0
83;Memises 3;21000;aucun;2004;NA;74;NA;5442;1621.42857142857;retenue_altitude;0;6599.65262374145;0;0
122;Mouille au Ble;20000;aucun;NA;NA;74;NA;10369;1506.8;retenue_altitude;0;8329.42305855851;0;13907.5999999804
127;Semnoz;6000;total;2019;NA;74;4500;3317;1665.79109308473;retenue_altitude;0;0;0;0
128;Les Tappes;5000;partiel;1992;NA;74;3750;2228;1489.25;retenue_altitude;1063.45525847606;28921.2108428176;0;0
129;Chateluy;7300;aucun;2005;NA;74;3000;2913;1639.8;retenue_altitude;0;2096.56843291967;0;0
130;Maisonneuve;6000;beton;NA;NA;74;NA;1017;1243.5;bac_de_stockage;1448.75641643569;14113.4284254101;0;0
131;Frebouge d en bas;4500;aucun;2003;NA;74;1280;1253;1187;retenue_altitude;0;9182.97735605875;0;0
132;Lac de l Osec;25000;naturel;NA;NA;74;10900;11395;1037.78947368421;lac_creuse;1712.90470843703;13209.1658677093;0;550.504090857451
133;Flegere;27000;partiel;2009;NA;74;6000;5685;1851;retenue_altitude;0;4452.01392302195;0;8627.59499999413
134;Airon;80000;aucun;1996;NA;74;20000;19469;1771.35483870968;retenue_altitude;0;9043.69846511422;0;31719.2649999923
135;Gron;40500;aucun;2013;NA;74;10000;10197;1627.45454545455;retenue_altitude;592.403597809954;11229.3806260141;0;0
136;Pecheurs Chavanne;13500;partiel;2015;NA;74;5000;4851;1473.57142857143;retenue_altitude;755.959952584396;7641.55040914719;0;33006.0303232083
137;Pre Vert;1000;aucun;2000;NA;74;NA;673;1324.36238194672;retenue_altitude;0;2357.79528575207;0;20463.4449999883
